v8-version,8,4,371,19,-node.17,0
code-creation,Builtin,3,3220,0x13c87e0,12,DatePrototypeSetMonth
code-creation,Builtin,3,3224,0x13c8800,12,DatePrototypeSetSeconds
code-creation,Builtin,3,3229,0x13c8820,12,DatePrototypeSetTime
code-creation,Builtin,3,3233,0x13c8840,12,DatePrototypeSetUTCDate
code-creation,Builtin,3,3237,0x13c8860,12,DatePrototypeSetUTCFullYear
code-creation,Builtin,3,3241,0x13c8880,12,DatePrototypeSetUTCHours
code-creation,Builtin,3,3245,0x13c88a0,12,DatePrototypeSetUTCMilliseconds
code-creation,Builtin,3,3250,0x13c88c0,12,DatePrototypeSetUTCMinutes
code-creation,Builtin,3,3254,0x13c88e0,12,DatePrototypeSetUTCMonth
code-creation,Builtin,3,3258,0x13c8900,12,DatePrototypeSetUTCSeconds
code-creation,Builtin,3,3263,0x13c8920,12,DatePrototypeToDateString
code-creation,Builtin,3,3268,0x13c8940,12,DatePrototypeToISOString
code-creation,Builtin,3,3272,0x13c8960,12,DatePrototypeToUTCString
code-creation,Builtin,3,3277,0x13c8980,12,DatePrototypeToString
code-creation,Builtin,3,3281,0x13c89a0,12,DatePrototypeToTimeString
code-creation,Builtin,3,3285,0x13c89c0,12,DatePrototypeToJson
code-creation,Builtin,3,3290,0x13c89e0,12,DateUTC
code-creation,Builtin,3,3294,0x13c8a00,12,ErrorConstructor
code-creation,Builtin,3,3298,0x13c8a20,12,ErrorCaptureStackTrace
code-creation,Builtin,3,3302,0x13c8a40,12,ErrorPrototypeToString
code-creation,Builtin,3,3306,0x13c8a60,12,FunctionConstructor
code-creation,Builtin,3,3310,0x13c8a80,64,FunctionPrototypeApply
code-creation,Builtin,3,3314,0x13c8ae0,12,FunctionPrototypeBind
code-creation,Builtin,3,3318,0x13c8b00,896,FastFunctionPrototypeBind
code-creation,Builtin,3,3322,0x13c8ea0,47,FunctionPrototypeCall
code-creation,Builtin,3,3326,0x13c8ee0,351,FunctionPrototypeHasInstance
code-creation,Builtin,3,3331,0x13c9040,12,FunctionPrototypeToString
code-creation,Builtin,3,3335,0x13c9060,205,CreateIterResultObject
code-creation,Builtin,3,3340,0x13c9140,830,CreateGeneratorObject
code-creation,Builtin,3,3344,0x13c9480,12,GeneratorFunctionConstructor
code-creation,Builtin,3,3348,0x13c94a0,516,GeneratorPrototypeNext
code-creation,Builtin,3,3352,0x13c96c0,524,GeneratorPrototypeReturn
code-creation,Builtin,3,3357,0x13c98e0,528,GeneratorPrototypeThrow
code-creation,Builtin,3,3361,0x13c9b00,12,AsyncFunctionConstructor
code-creation,Builtin,3,3365,0x13c9b20,61,GetIteratorWithFeedbackLazyDeoptContinuation
code-creation,Builtin,3,3370,0x13c9b60,12,GlobalDecodeURI
code-creation,Builtin,3,3374,0x13c9b80,12,GlobalDecodeURIComponent
code-creation,Builtin,3,3379,0x13c9ba0,12,GlobalEncodeURI
code-creation,Builtin,3,3383,0x13c9bc0,12,GlobalEncodeURIComponent
code-creation,Builtin,3,3387,0x13c9be0,12,GlobalEscape
code-creation,Builtin,3,3391,0x13c9c00,12,GlobalUnescape
code-creation,Builtin,3,3395,0x13c9c20,12,GlobalEval
code-creation,Builtin,3,3399,0x13c9c40,145,GlobalIsFinite
code-creation,Builtin,3,3403,0x13c9ce0,137,GlobalIsNaN
code-creation,Builtin,3,3407,0x13c9d80,12,JsonParse
code-creation,Builtin,3,3410,0x13c9da0,12,JsonStringify
code-creation,Builtin,3,3414,0x13c9dc0,3737,LoadIC
code-creation,Builtin,3,3418,0x13cac60,3213,LoadIC_Megamorphic
code-creation,Builtin,3,3422,0x13cb900,3265,LoadIC_Noninlined
code-creation,Builtin,3,3426,0x13cc5e0,52,LoadICTrampoline
code-creation,Builtin,3,3430,0x13cc620,52,LoadICTrampoline_Megamorphic
code-creation,Builtin,3,3435,0x13cc660,6972,KeyedLoadIC
code-creation,Builtin,3,3439,0x13ce1a0,12056,KeyedLoadIC_Megamorphic
code-creation,Builtin,3,3443,0x13d10c0,52,KeyedLoadICTrampoline
